,Unnamed: 0,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
0,0,10325,Vecchio Birraio,1234817823,1.5,2.0,2.5,stcules,Hefeweizen,1.5,1.5,Sausa Weizen,5.0,47986
1,1,10325,Vecchio Birraio,1235915097,3.0,2.5,3.0,stcules,English Strong Ale,3.0,3.0,Red Moon,6.2,48213
2,2,10325,Vecchio Birraio,1235916604,3.0,2.5,3.0,stcules,Foreign / Export Stout,3.0,3.0,Black Horse Black Beer,6.5,48215
3,3,10325,Vecchio Birraio,1234725145,3.0,3.0,3.5,stcules,German Pilsener,2.5,3.0,Sausa Pils,5.0,47969
4,4,1075,Caldera Brewing Company,1293735206,4.0,4.5,4.0,johnmichaelsen,American Double / Imperial IPA,4.0,4.5,Cauldron DIPA,7.7,64883
5,5,1075,Caldera Brewing Company,1325524659,3.0,3.5,3.5,oline73,Herbed / Spiced Beer,3.0,3.5,Caldera Ginger Beer,4.7,52159
6,6,1075,Caldera Brewing Company,1318991115,3.5,3.5,3.5,Reidrover,Herbed / Spiced Beer,4.0,4.0,Caldera Ginger Beer,4.7,52159
7,7,1075,Caldera Brewing Company,1306276018,3.0,2.5,3.5,alpinebryant,Herbed / Spiced Beer,2.0,3.5,Caldera Ginger Beer,4.7,52159
8,8,1075,Caldera Brewing Company,1290454503,4.0,3.0,3.5,LordAdmNelson,Herbed / Spiced Beer,3.5,4.0,Caldera Ginger Beer,4.7,52159
9,9,1075,Caldera Brewing Company,1285632924,4.5,3.5,5.0,augustgarage,Herbed / Spiced Beer,4.0,4.0,Caldera Ginger Beer,4.7,52159
10,10,163,Amstel Brouwerij B. V.,1010963392,3.0,2.0,3.0,fodeeoz,Light Lager,2.5,2.5,Amstel Light,3.5,436
11,11,1075,Caldera Brewing Company,1283154365,5.0,5.0,4.0,MadeInOregon,Herbed / Spiced Beer,4.0,4.0,Caldera Ginger Beer,4.7,52159
12,12,1075,Caldera Brewing Company,1277557990,4.0,4.0,4.0,rawthar,Herbed / Spiced Beer,3.5,4.0,Caldera Ginger Beer,4.7,52159
13,13,1075,Caldera Brewing Company,1275779250,4.0,4.5,3.0,Halcyondays,Herbed / Spiced Beer,2.5,3.0,Caldera Ginger Beer,4.7,52159
14,14,1075,Caldera Brewing Company,1273109020,3.5,4.0,3.0,RangerClegg,Herbed / Spiced Beer,3.0,4.0,Caldera Ginger Beer,4.7,52159
15,15,1075,Caldera Brewing Company,1316025612,3.0,3.0,2.5,Beerandraiderfan,Oatmeal Stout,3.0,3.0,Caldera Oatmeal Stout,7.2,10789
16,16,1075,Caldera Brewing Company,1103502339,2.0,1.5,2.5,RedDiamond,Oatmeal Stout,2.5,2.0,Caldera Oatmeal Stout,7.2,10789
17,17,1075,Caldera Brewing Company,1062311123,4.0,3.0,4.0,beerguy101,American Pale Lager,4.0,4.0,Caldera OBF 15,5.6,12386
18,18,163,Amstel Brouwerij B. V.,1010861086,2.5,3.0,3.0,jdhilt,Light Lager,2.0,2.0,Amstel Light,3.5,436
19,19,1075,Caldera Brewing Company,1325478004,4.5,4.5,3.0,UCLABrewN84,Rauchbier,4.0,4.5,Rauch Ür Bock,7.4,58046
20,20,1075,Caldera Brewing Company,1325360812,4.0,4.0,4.0,zaphodchak,Rauchbier,3.0,4.0,Rauch Ür Bock,7.4,58046
